"id","description","last_updated"
"2706805","Chicken or turkey salad, made with creamy dressing","2024-10-31"
"2706806","Chicken or turkey salad, made with light creamy dressing","2024-10-31"
"2706807","Chicken or turkey salad, made with Italian dressing","2024-10-31"
"2706808","Chicken or turkey salad, made with light Italian dressing","2024-10-31"
"2706809","Chicken or turkey salad, made with any type of fat free dressing","2024-10-31"
"2706810","Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing","2024-10-31"
"2706811","Chicken or turkey garden salad, chicken and/or turkey, other vegetables excluding tomato and carrots, no dressing","2024-10-31"
"2706812","Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing","2024-10-31"
"2706813","Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing","2024-10-31"
"2706814","Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing","2024-10-31"
"2706815","Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing","2024-10-31"
"2706816","Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing","2024-10-31"
"2706817","Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing","2024-10-31"
"2706818","Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing","2024-10-31"
"2706819","Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing","2024-10-31"
"2706820","Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce","2024-10-31"
"2706821","Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, cheese sauce","2024-10-31"
"2706822","Chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, Puerto Rican style","2024-10-31"
"2706823","Chicken or turkey fricassee, no sauce, no potatoes, Puerto Rican style","2024-10-31"
"2706824","Crab salad","2024-10-31"
"2706825","Lobster salad","2024-10-31"
"2706826","Salmon salad","2024-10-31"
"2706827","Shrimp chow mein or chop suey, no noodles","2024-10-31"
"2706828","Tuna salad, made with mayonnaise","2024-10-31"
"2706829","Tuna salad, made with light mayonnaise","2024-10-31"
"2706830","Tuna salad, made with mayonnaise-type salad dressing","2024-10-31"
"2706831","Tuna salad, made with light mayonnaise-type salad dressing","2024-10-31"
"2706832","Tuna salad, made with creamy dressing","2024-10-31"
"2706833","Tuna salad, made with light creamy dressing","2024-10-31"
"2706834","Tuna salad, made with Italian dressing","2024-10-31"
"2706835","Tuna salad, made with light Italian dressing","2024-10-31"
"2706836","Tuna salad, made with any type of fat free dressing","2024-10-31"
"2706837","Shrimp salad","2024-10-31"
"2706838","Seafood salad","2024-10-31"
"2706839","Tuna salad with cheese","2024-10-31"
"2706840","Tuna salad with egg","2024-10-31"
"2706841","Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing","2024-10-31"
"2706842","Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing","2024-10-31"
"2706843","Crab salad made with imitation crab","2024-10-31"
"2706844","Fish, tofu, and vegetables, tempura","2024-10-31"
"2706845","Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing","2024-10-31"
"2706846","Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing","2024-10-31"
"2706847","Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing","2024-10-31"
"2706848","Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing","2024-10-31"
"2706849","Oysters Rockefeller","2024-10-31"
"2706850","Lomi salmon","2024-10-31"
"2706851","Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce","2024-10-31"
"2706852","Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","2024-10-31"
"2706853","Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","2024-10-31"
"2706854","Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","2024-10-31"
"2706855","Shrimp shish kabob with vegetables, excluding potatoes","2024-10-31"
"2706856","Shrimp creole, no rice","2024-10-31"
"2706857","Kung Pao shrimp","2024-10-31"
"2706858","Tuna casserole with vegetables and mushroom sauce, no noodles","2024-10-31"
"2706859","Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","2024-10-31"
"2706860","Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","2024-10-31"
"2706861","Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce","2024-10-31"
"2706862","Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce","2024-10-31"
"2706863","Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce","2024-10-31"
"2706864","Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce","2024-10-31"
"2706865","Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","2024-10-31"
"2706866","Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","2024-10-31"
"2706867","Fish shish kabob with vegetables, excluding potatoes","2024-10-31"
"2706868","Fried fish with sauce, Puerto Rican style","2024-10-31"
"2706869","Lobster with sauce, Puerto Rican style","2024-10-31"
"2706870","Octopus salad, Puerto Rican style","2024-10-31"
"2706871","Codfish salad, Puerto Rican style, Serenata","2024-10-31"
"2706872","Chow mein or chop suey, NS as to type of meat, no noodles","2024-10-31"
"2706873","Lau lau","2024-10-31"
"2706874","Antipasto with ham, fish, cheese, vegetables","2024-10-31"
"2706875","Livers, chicken, chopped, with eggs and onion","2024-10-31"
"2706876","Liver, beef or calves, and onions","2024-10-31"
"2706877","Stewed chitterlings, Puerto Rican style","2024-10-31"
"2706878","Stewed gizzards, Puerto Rican style","2024-10-31"
"2706879","Gumbo, no rice","2024-10-31"
"2706880","Sandwich, NFS","2024-10-31"
"2706881","Sandwich wrap, NFS","2024-10-31"
"2706882","Barbecue sandwich, NFS","2024-10-31"
"2706883","Sloppy joe sandwich, on white bun","2024-10-31"
"2706884","Sloppy joe sandwich, on wheat bun","2024-10-31"
"2706885","Barbecue beef sandwich, on white bun","2024-10-31"
"2706886","Barbecue beef sandwich, on wheat bun","2024-10-31"
"2706887","Cheeseburger slider, from fast food","2024-10-31"
"2706888","Cheeseburger, NFS","2024-10-31"
"2706889","Cheeseburger, from fast food, 1 small patty","2024-10-31"
"2706890","Cheeseburger (Burger King)","2024-10-31"
"2706891","Whopper Jr with cheese (Burger King)","2024-10-31"
"2706892","Cheeseburger (McDonalds)","2024-10-31"
"2706893","Cheeseburger, from school cafeteria","2024-10-31"
"2706894","Cheeseburger slider","2024-10-31"
"2706895","Cheeseburger, on white bun, 1 small patty","2024-10-31"
"2706896","Cheeseburger, on wheat bun, 1 small patty","2024-10-31"
"2706897","Cheeseburger, from fast food, 1 medium patty","2024-10-31"
"2706898","Quarter Pounder (McDonalds)","2024-10-31"
"2706899","Whopper with cheese (Burger King)","2024-10-31"
"2706900","Quarter Pounder with cheese (McDonalds)","2024-10-31"
"2706901","Cheeseburger, on white bun, 1 medium patty","2024-10-31"
"2706902","Cheeseburger, on wheat bun, 1 medium patty","2024-10-31"
"2706903","Cheeseburger, on white bun, 1 large patty","2024-10-31"
"2706904","Cheeseburger, on wheat bun, 1 large patty","2024-10-31"
"2706905","Double cheeseburger, on white bun, 2 small patties","2024-10-31"
"2706906","Double cheeseburger, on wheat bun, 2 small patties","2024-10-31"
"2706907","Double cheeseburger, on white bun, 2 medium patties","2024-10-31"
"2706908","Double cheeseburger, on wheat bun, 2 medium patties","2024-10-31"
"2706909","Cheeseburger, from fast food, 1 large patty","2024-10-31"
"2706910","Double cheeseburger, on white bun, 2 large patties","2024-10-31"
"2706911","Double cheeseburger, on wheat bun, 2 large patties","2024-10-31"
"2706912","Double cheeseburger, from fast food, 2 small patties","2024-10-31"
"2706913","Double cheeseburger (Burger King)","2024-10-31"
"2706914","Double cheeseburger (McDonalds)","2024-10-31"
"2706915","McDouble (McDonalds)","2024-10-31"
"2706916","Big Mac (McDonalds)","2024-10-31"
"2706917","Double cheeseburger, from fast food, 2 medium patties","2024-10-31"
"2706918","Double cheeseburger, from fast food, 2 large patties","2024-10-31"
"2706919","Hamburger slider, from fast food","2024-10-31"
"2706920","Hamburger, NFS","2024-10-31"
"2706921","Hamburger, from fast food, 1 small patty","2024-10-31"
"2706922","Hamburger (Burger King)","2024-10-31"
"2706923","Whopper Jr (Burger King)","2024-10-31"
"2706924","Hamburger (McDonalds)","2024-10-31"
"2706925","Hamburger, from school cafeteria","2024-10-31"
"2706926","Hamburger slider","2024-10-31"
"2706927","Hamburger, on white bun, 1 small patty","2024-10-31"
"2706928","Hamburger, on wheat bun, 1 small patty","2024-10-31"
"2706929","Hamburger, from fast food, 1 medium patty","2024-10-31"
"2706930","Hamburger, from fast food, 1 large patty","2024-10-31"
"2706931","Whopper (Burger King)","2024-10-31"
"2706932","Hamburger, on white bun, 1 medium patty","2024-10-31"
"2706933","Hamburger, on wheat bun, 1 medium patty","2024-10-31"
"2706934","Hamburger, on white bun, 1 large patty","2024-10-31"
"2706935","Hamburger, on wheat bun, 1 large patty","2024-10-31"
"2706936","Double hamburger, on white bun, 2 small patties","2024-10-31"
"2706937","Double hamburger, on wheat bun, 2 small patties","2024-10-31"
"2706938","Double hamburger, on white bun, 2 medium patties","2024-10-31"
"2706939","Double hamburger, on wheat bun, 2 medium patties","2024-10-31"
"2706940","Double hamburger, on white bun, 2 large patties","2024-10-31"
"2706941","Double hamburger, on wheat bun, 2 large patties","2024-10-31"
"2706942","Double hamburger, from fast food, 2 small patties","2024-10-31"
"2706943","Double hamburger, from fast food, 2 medium patties","2024-10-31"
"2706944","Double hamburger, from fast food, 2 large patties","2024-10-31"
"2706945","Meatball sandwich or sub","2024-10-31"
"2706946","Meatloaf sandwich","2024-10-31"
"2706947","Chiliburger, with or without cheese, on bun","2024-10-31"
"2706948","Corned beef sandwich on white","2024-10-31"
"2706949","Corned beef sandwich on white, with cheese","2024-10-31"
"2706950","Corned beef sandwich on wheat","2024-10-31"
"2706951","Corned beef sandwich on wheat, with cheese","2024-10-31"
"2706952","Reuben sandwich","2024-10-31"
"2706953","Roast beef sandwich on white","2024-10-31"
"2706954","Roast beef sandwich on white, with cheese","2024-10-31"
"2706955","Roast beef sandwich on wheat","2024-10-31"
"2706956","Roast beef sandwich on wheat, with cheese","2024-10-31"
"2706957","French dip sandwich","2024-10-31"
"2706958","Steak sandwich or sub on white","2024-10-31"
"2706959","Steak sandwich or sub on wheat","2024-10-31"
"2706960","Cheese steak sandwich or sub on white","2024-10-31"
"2706961","Cheese steak sandwich or sub on wheat","2024-10-31"
"2706962","Gyro sandwich","2024-10-31"
"2706963","Hamburger wrap sandwich, from fast food","2024-10-31"
"2706964","Ham sandwich on white","2024-10-31"
"2706965","Ham sandwich on white, with cheese","2024-10-31"
"2706966","Ham sandwich on wheat","2024-10-31"
"2706967","Ham sandwich on wheat, with cheese","2024-10-31"
"2706968","Ham sandwich or sub, restaurant","2024-10-31"
"2706969","Ham sandwich or sub, with cheese, restaurant","2024-10-31"
"2706970","Ham sandwich wrap","2024-10-31"
"2706971","Ham salad sandwich on white","2024-10-31"
"2706972","Ham salad sandwich on wheat","2024-10-31"
"2706973","Cuban sandwich","2024-10-31"
"2706974","Barbecue rib sandwich","2024-10-31"
"2706975","Barbecue pork sandwich, on white bun","2024-10-31"
"2706976","Barbecue pork sandwich, on wheat bun","2024-10-31"
"2706977","Pork sandwich","2024-10-31"
"2706978","Pork sandwich, with cheese","2024-10-31"
"2706979","Bacon, lettuce, tomato sandwich on white","2024-10-31"
"2706980","Bacon, lettuce, tomato sandwich on wheat","2024-10-31"
"2706981","Turkey sandwich on white","2024-10-31"
"2706982","Turkey sandwich on white, with cheese","2024-10-31"
"2706983","Turkey sandwich on wheat","2024-10-31"
"2706984","Turkey sandwich on wheat, with cheese","2024-10-31"
"2706985","Turkey sandwich or sub, restaurant","2024-10-31"
"2706986","Turkey sandwich or sub, with cheese, restaurant","2024-10-31"
"2706987","Turkey sandwich wrap","2024-10-31"
"2706988","Chicken deli sandwich or sub, restaurant","2024-10-31"
"2706989","Chicken deli sandwich or sub, with cheese, restaurant","2024-10-31"
"2706990","Chicken salad sandwich on white","2024-10-31"
"2706991","Chicken salad sandwich on wheat","2024-10-31"
"2706992","Chicken salad sandwich wrap","2024-10-31"
"2706993","Club sandwich on white","2024-10-31"
"2706994","Club sandwich on white, with cheese","2024-10-31"
"2706995","Club sandwich on wheat","2024-10-31"
"2706996","Club sandwich on wheat, with cheese","2024-10-31"
"2706997","Club sandwich or sub, restaurant","2024-10-31"
"2706998","Barbecue chicken sandwich, on white bun","2024-10-31"
"2706999","Barbecue chicken sandwich, on wheat bun","2024-10-31"
"2707000","Chicken fillet sandwich, NFS","2024-10-31"
"2707001","Chicken fillet sandwich, from school cafeteria","2024-10-31"
"2707002","Chicken fillet biscuit, from fast food","2024-10-31"
"2707003","Chicken fillet sandwich, fried, from fast food","2024-10-31"
"2707004","Chicken fillet sandwich, fried, from fast food, with cheese","2024-10-31"
"2707005","Chicken fillet sandwich, grilled, from fast food","2024-10-31"
"2707006","Chicken fillet sandwich, grilled, from fast food, with cheese","2024-10-31"
"2707007","Chicken fillet sandwich, NS as to fried or grilled, from fast food","2024-10-31"
"2707008","Chicken fillet sandwich, fried, on white bun","2024-10-31"
"2707009","Chicken fillet sandwich, fried, on white bun; with cheese","2024-10-31"
"2707010","Chicken fillet sandwich, fried, on wheat bun","2024-10-31"
"2707011","Chicken fillet sandwich, fried, on wheat bun, with cheese","2024-10-31"
"2707012","Chicken fillet sandwich, grilled, on white bun","2024-10-31"
"2707013","Chicken fillet sandwich, grilled, on white bun, with cheese","2024-10-31"
"2707014","Chicken fillet sandwich, grilled, on wheat bun","2024-10-31"
"2707015","Chicken fillet sandwich, grilled, on wheat bun, with cheese","2024-10-31"
"2707016","Chicken fillet wrap sandwich, fried, from fast food","2024-10-31"
"2707017","Chicken fillet wrap sandwich, grilled, from fast food","2024-10-31"
"2707018","Turkey or chicken burger, on white bun","2024-10-31"
"2707019","Turkey or chicken burger, on wheat bun","2024-10-31"
"2707020","Fish sandwich, fried, from fast food","2024-10-31"
"2707021","Fish sandwich, fried, from fast food, with cheese","2024-10-31"
"2707022","Crab cake sandwich","2024-10-31"
"2707023","Salmon cake sandwich","2024-10-31"
"2707024","Fried seafood sandwich","2024-10-31"
"2707025","Fish sandwich, from school cafeteria","2024-10-31"
"2707026","Fish sandwich, NFS","2024-10-31"
"2707027","Fish sandwich, fried, on white bun","2024-10-31"
"2707028","Fish sandwich, fried, on white bun, with cheese","2024-10-31"
"2707029","Fish sandwich, fried, on wheat bun","2024-10-31"
"2707030","Fish sandwich, fried, on wheat bun, with cheese","2024-10-31"
"2707031","Fish sandwich, grilled","2024-10-31"
"2707032","Fish wrap sandwich","2024-10-31"
"2707033","Sardine sandwich","2024-10-31"
"2707034","Tuna salad sandwich on white","2024-10-31"
"2707035","Tuna salad sandwich on white, with cheese","2024-10-31"
"2707036","Tuna salad sandwich on wheat","2024-10-31"
"2707037","Tuna salad sandwich on wheat, with cheese","2024-10-31"
"2707038","Tuna salad sandwich wrap","2024-10-31"
"2707039","Seafood salad sandwich","2024-10-31"
"2707040","Bologna sandwich on white","2024-10-31"
"2707041","Bologna sandwich on white, with cheese","2024-10-31"
"2707042","Bologna sandwich on wheat","2024-10-31"
"2707043","Bologna sandwich on wheat, with cheese","2024-10-31"
"2707044","Corn dog","2024-10-31"
"2707045","Pig in a blanket","2024-10-31"
"2707046","Salami sandwich on white","2024-10-31"
"2707047","Salami sandwich on white, with cheese","2024-10-31"
"2707048","Salami sandwich on wheat","2024-10-31"
"2707049","Salami sandwich on wheat, with cheese","2024-10-31"
"2707050","Italian sandwich on white","2024-10-31"
"2707051","Italian sandwich on wheat","2024-10-31"
"2707052","Italian sandwich or sub, restaurant","2024-10-31"
"2707053","Italian sausage sandwich on white","2024-10-31"
"2707054","Italian sausage sandwich on wheat","2024-10-31"
"2707055","Spam sandwich","2024-10-31"
"2707056","Hot dog sandwich, NFS, on white bun","2024-10-31"
"2707057","Hot dog sandwich, NFS, on wheat bun","2024-10-31"
"2707058","Hot dog sandwich, NFS, on white bread","2024-10-31"
"2707059","Hot dog sandwich, NFS, on wheat bread","2024-10-31"
"2707060","Hot dog sandwich, beef, on white bun","2024-10-31"
"2707061","Hot dog sandwich, beef, on wheat bun","2024-10-31"
"2707062","Hot dog sandwich, beef, on white bread","2024-10-31"
"2707063","Hot dog sandwich, beef, on wheat bread","2024-10-31"
"2707064","Hot dog sandwich, meat and poultry, on white bun","2024-10-31"
"2707065","Hot dog sandwich, meat and poultry, on wheat bun","2024-10-31"
"2707066","Hot dog sandwich, meat and poultry, on white bread","2024-10-31"
"2707067","Hot dog sandwich, meat and poultry, on wheat bread","2024-10-31"
"2707068","Hot dog sandwich, turkey, on white bun","2024-10-31"
"2707069","Hot dog sandwich, turkey, on wheat bun","2024-10-31"
"2707070","Hot dog sandwich, turkey, on white bread","2024-10-31"
"2707071","Hot dog sandwich, turkey, on wheat bread","2024-10-31"
"2707072","Hot dog sandwich, reduced fat, on white bun","2024-10-31"
"2707073","Hot dog sandwich, reduced fat, on wheat bun","2024-10-31"
"2707074","Hot dog sandwich, reduced fat, on white bread","2024-10-31"
"2707075","Hot dog sandwich, reduced fat, on wheat bread","2024-10-31"
"2707076","Hot dog sandwich, vegetarian, on bun","2024-10-31"
"2707077","Hot dog sandwich, vegetarian, on bread","2024-10-31"
"2707078","Chili hot dog sandwich, on white bun","2024-10-31"
"2707079","Chili hot dog sandwich, on wheat bun","2024-10-31"
"2707080","Chili hot dog sandwich, on white bread","2024-10-31"
"2707081","Chili hot dog sandwich, on wheat bread","2024-10-31"
"2707082","Multiple meat sandwich on white","2024-10-31"
"2707083","Multiple meat sandwich on white, with cheese","2024-10-31"
"2707084","Multiple meat sandwich on wheat","2024-10-31"
"2707085","Multiple meat sandwich on wheat, with cheese","2024-10-31"
"2707086","Multiple meat sandwich or sub, restaurant","2024-10-31"
"2707087","Multiple meat sandwich or sub, with cheese, restaurant","2024-10-31"
"2707088","Multiple meat sandwich wrap","2024-10-31"
"2707089","Turkey and ham sandwich on white","2024-10-31"
"2707090","Turkey and ham sandwich on white, with cheese","2024-10-31"
"2707091","Turkey and ham sandwich on wheat","2024-10-31"
"2707092","Turkey and ham sandwich on wheat, with cheese","2024-10-31"
"2707093","Turkey and ham sandwich or sub, restaurant","2024-10-31"
"2707094","Turkey and ham sandwich or sub, with cheese, restaurant","2024-10-31"
"2707095","Frozen dinner, NFS","2024-10-31"
"2707096","Beef dinner, NFS, frozen meal","2024-10-31"
"2707097","Beef with vegetable, diet frozen meal","2024-10-31"
"2707098","Salisbury steak dinner, NFS, frozen meal","2024-10-31"
"2707099","Salisbury steak with gravy, potatoes, vegetable, frozen meal","2024-10-31"
"2707100","Salisbury steak with gravy, whipped potatoes, vegetable, dessert, frozen meal","2024-10-31"
"2707101","Salisbury steak with gravy, macaroni and cheese, frozen meal","2024-10-31"
"2707102","Beef, sliced, with gravy, potatoes, vegetable, frozen meal","2024-10-31"
"2707103","Meatballs, Swedish, in gravy, with noodles, diet frozen meal","2024-10-31"
"2707104","Beef with spaetzle or rice, vegetable, frozen meal","2024-10-31"
"2707105","Chicken dinner, NFS, frozen meal","2024-10-31"
"2707106","Chicken, fried, with potatoes, vegetable, frozen meal","2024-10-31"
"2707107","Chicken patty, or nuggets, boneless, breaded, potatoes, vegetable, frozen meal","2024-10-31"
"2707108","Chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion","2024-10-31"
"2707109","Teriyaki chicken with rice and vegetable, diet frozen meal","2024-10-31"
"2707110","Chicken with rice and vegetable, diet frozen meal","2024-10-31"
"2707111","Chicken and vegetables au gratin with rice, diet frozen entree","2024-10-31"
"2707112","Chicken and vegetable entree with rice, diet frozen meal","2024-10-31"
"2707113","Chicken with noodles and cheese sauce, diet frozen meal","2024-10-31"
"2707114","Chicken and vegetable entree with noodles, diet frozen meal","2024-10-31"
"2707115","Chicken in soy-based sauce, rice and vegetables, frozen meal","2024-10-31"
"2707116","Chicken and vegetable entree with noodles and cream sauce, frozen meal","2024-10-31"
"2707117","Turkey with vegetable, stuffing, diet frozen meal","2024-10-31"
"2707118","Turkey with gravy, dressing, potatoes, vegetable, frozen meal","2024-10-31"
"2707119","Fish in lemon-butter sauce with starch item, vegetable, frozen meal","2024-10-31"
"2707120","Shrimp and vegetables in sauce with noodles, diet frozen meal","2024-10-31"
"2707121","Meat loaf dinner, NFS, frozen meal","2024-10-31"
"2707122","Meat loaf with potatoes, vegetable, frozen meal","2024-10-31"
"2707123","Soup, meatball","2024-10-31"
"2707124","Soup, pho, with meat","2024-10-31"
"2707125","Soup, pho, no meat","2024-10-31"
"2707126","Soup, pepperpot","2024-10-31"
"2707127","Soup, beef, canned","2024-10-31"
"2707128","Soup, sopa or caldo de res","2024-10-31"
"2707129","Soup, pozole","2024-10-31"
"2707130","Soup, Italian wedding","2024-10-31"
"2707131","Soup, pork or ham","2024-10-31"
"2707132","Soup, broth","2024-10-31"
"2707133","Soup, chicken, canned","2024-10-31"
"2707134","Soup, chicken","2024-10-31"
"2707135","Soup, sopa or caldo de pollo","2024-10-31"
"2707136","Soup, hot and sour","2024-10-31"
"2707137","Soup, cream of chicken","2024-10-31"
"2707138","Soup, Manhattan clam chowder","2024-10-31"
"2707139","Soup, New England clam chowder","2024-10-31"
"2707140","Soup, bisque","2024-10-31"
"2707141","Lobster gumbo","2024-10-31"
"2707142","Shrimp gumbo","2024-10-31"
"2707143","Soup, fish or shrimp","2024-10-31"
"2707144","Gravy, poultry","2024-10-31"
"2707145","Gravy, beef","2024-10-31"
"2707146","Gravy, beef, fat free","2024-10-31"
"2707147","Gravy, poultry, fat free","2024-10-31"
"2707148","Gravy, made with soy sauce","2024-10-31"
"2707149","Gravy, NFS","2024-10-31"
"2707150","Oyster sauce","2024-10-31"
"2707151","Mole sauce","2024-10-31"
"2707152","Egg, whole, raw","2024-10-31"
"2707153","Egg, whole, cooked, NS as to cooking method","2024-10-31"
"2707154","Egg, whole, boiled or poached","2024-10-31"
"2707155","Egg, whole, fried, NS as to fat","2024-10-31"
"2707156","Egg, whole, fried no added fat","2024-10-31"
"2707157","Egg, whole, fried with margarine","2024-10-31"
"2707158","Egg, whole, fried with oil","2024-10-31"
"2707159","Egg, whole, fried with butter","2024-10-31"
"2707160","Egg, whole, fried with animal fat or meat drippings","2024-10-31"
"2707161","Egg, whole, fried with cooking spray","2024-10-31"
"2707162","Egg, whole, fried, NS as to fat type","2024-10-31"
"2707163","Egg, whole, fried, from fast food / restaurant","2024-10-31"
"2707164","Egg, whole, baked, NS as to fat","2024-10-31"
"2707165","Egg, whole, baked, no added fat","2024-10-31"
"2707166","Egg, whole, baked, fat added","2024-10-31"
"2707167","Egg, whole, pickled","2024-10-31"
"2707168","Egg, white only, raw","2024-10-31"
"2707169","Egg, white, cooked, NS as to fat","2024-10-31"
"2707170","Egg, white, cooked, no added fat","2024-10-31"
"2707171","Egg, white, cooked, fat added","2024-10-31"
"2707172","Egg, yolk only, raw","2024-10-31"
"2707173","Egg, yolk only, cooked, NS as to fat","2024-10-31"
"2707174","Egg, yolk only, cooked, no added fat","2024-10-31"
"2707175","Egg, yolk only, cooked, fat added","2024-10-31"
"2707176","Duck egg, cooked","2024-10-31"
"2707177","Goose egg, cooked","2024-10-31"
"2707178","Quail egg, canned","2024-10-31"
"2707179","Egg, creamed","2024-10-31"
"2707180","Egg, Benedict","2024-10-31"
"2707181","Egg, deviled","2024-10-31"
"2707182","Egg salad, made with mayonnaise","2024-10-31"
"2707183","Egg salad, made with light mayonnaise","2024-10-31"
"2707184","Egg salad, made with mayonnaise-type salad dressing","2024-10-31"
"2707185","Egg salad, made with light mayonnaise-type salad dressing","2024-10-31"
"2707186","Egg salad, made with creamy dressing","2024-10-31"
"2707187","Egg salad, made with light creamy dressing","2024-10-31"
"2707188","Egg salad, made with Italian dressing","2024-10-31"
"2707189","Egg salad, made with light Italian dressing","2024-10-31"
"2707190","Egg Salad, made with any type of fat free dressing","2024-10-31"
"2707191","Huevos rancheros","2024-10-31"
"2707192","Egg casserole with bread, cheese, milk and meat","2024-10-31"
"2707193","Egg foo yung, NFS","2024-10-31"
"2707194","Chicken egg foo yung","2024-10-31"
"2707195","Pork egg foo yung","2024-10-31"
"2707196","Shrimp egg foo yung","2024-10-31"
"2707197","Beef egg foo yung","2024-10-31"
"2707198","Egg omelet or scrambled egg, NS as to fat","2024-10-31"
"2707199","Egg omelet or scrambled egg, made with margarine","2024-10-31"
"2707200","Egg omelet or scrambled egg, made with oil","2024-10-31"
"2707201","Egg omelet or scrambled egg, made with butter","2024-10-31"
"2707202","Egg omelet or scrambled egg, made with animal fat or meat drippings","2024-10-31"
"2707203","Egg omelet or scrambled egg, made with cooking spray","2024-10-31"
"2707204","Egg omelet or scrambled egg, NS as to fat type","2024-10-31"
"2707205","Egg omelet or scrambled egg, no added fat","2024-10-31"
"2707206","Egg omelet or scrambled egg, from fast food / restaurant","2024-10-31"
"2707207","Egg omelet or scrambled egg, with cheese, made with margarine","2024-10-31"
"2707208","Egg omelet or scrambled egg, with cheese, made with oil","2024-10-31"
"2707209","Egg omelet or scrambled egg, with cheese, made with butter","2024-10-31"
"2707210","Egg omelet or scrambled egg, with cheese, made with animal fat or meat drippings","2024-10-31"
"2707211","Egg omelet or scrambled egg, with cheese, made with cooking spray","2024-10-31"
"2707212","Egg omelet or scrambled egg, with cheese, no added fat","2024-10-31"
"2707213","Egg omelet or scrambled egg, with meat, NS as to fat","2024-10-31"
"2707214","Egg omelet or scrambled egg, with meat, made with margarine","2024-10-31"
"2707215","Egg omelet or scrambled egg, with meat, made with oil","2024-10-31"
"2707216","Egg omelet or scrambled egg, with meat, made with butter","2024-10-31"
"2707217","Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings","2024-10-31"
"2707218","Egg omelet or scrambled egg, with meat, made with cooking spray","2024-10-31"
"2707219","Egg omelet or scrambled egg, with meat, NS as to fat type","2024-10-31"
"2707220","Egg omelet or scrambled egg, with meat, no added fat","2024-10-31"
"2707221","Egg omelet or scrambled egg, with cheese and meat, NS as to fat","2024-10-31"
"2707222","Egg omelet or scrambled egg, with cheese and meat, made with margarine","2024-10-31"
"2707223","Egg omelet or scrambled egg, with cheese and meat, made with oil","2024-10-31"
"2707224","Egg omelet or scrambled egg, with cheese and meat, made with butter","2024-10-31"
"2707225","Egg omelet or scrambled egg, with cheese and meat, made with animal fat or meat drippings","2024-10-31"
"2707226","Egg omelet or scrambled egg, with cheese and meat, made with cooking spray","2024-10-31"
"2707227","Egg omelet or scrambled egg, with cheese and meat, NS as to fat type","2024-10-31"
"2707228","Egg omelet or scrambled egg, with cheese and meat, no added fat","2024-10-31"
"2707229","Egg omelet or scrambled egg, with tomatoes, fat added","2024-10-31"
"2707230","Egg omelet or scrambled egg, with tomatoes, no added fat","2024-10-31"
"2707231","Egg omelet or scrambled egg, with tomatoes, NS as to fat","2024-10-31"
